ROW | DATA_1 | DATA_2
---------------------
000 |    14 |   -14
001 |     9 |    10
002 |    -3 |     0
003 |    -5 |     2
004 |   -16 |    -7
005 |     4 |     3
006 |   -14 |     7
007 |   -16 |     6
008 |     5 |    -6
009 |    12 |   -10
00A |    12 |   -15
00B |   -14 |     9
00C |   -12 |    -8
00D |    -3 |   -12
00E |   -15 |     0
00F |     3 |    -2
010 |     3 |     9
011 |   -14 |    15
012 |   -16 |     7
013 |   -15 |   -13
014 |   -10 |     1
015 |     2 |     4
016 |     7 |    -7
017 |   -10 |   -16
018 |    -5 |     7
019 |   -10 |   -14
01A |    -3 |    -7
01B |    -4 |   -11
01C |    -8 |    11
01D |    -2 |   -10
01E |    -4 |     3
01F |     9 |    -4
020 |     4 |    10
021 |     1 |   -12
022 |   -15 |    12
023 |   -10 |   -11
024 |    13 |   -15
025 |     8 |    11
026 |    -8 |   -10
027 |    14 |    -2
028 |    10 |     3
029 |    -7 |     0
02A |    15 |    13
02B |    12 |    -3
02C |    -3 |     5
02D |    11 |     3
02E |    10 |   -12
02F |   -14 |    -9
030 |     7 |    -4
031 |    -2 |    -3
032 |    15 |    14
033 |    -5 |     7
034 |    10 |   -13
035 |     1 |    12
036 |    -1 |   -10
037 |     7 |    10
038 |     5 |   -15
039 |    14 |     8
03A |    -3 |    11
03B |   -10 |    15
03C |    -5 |   -12
03D |   -14 |    -7
03E |    -4 |    15
03F |    10 |    11
040 |    10 |    15
041 |   -14 |   -13
042 |   -11 |     9
043 |    13 |     5
044 |    -3 |   -11
045 |   -16 |    14
046 |    -2 |    -9
047 |   -13 |    -2
048 |     8 |     9
049 |   -13 |     1
04A |     9 |    -5
04B |   -13 |    12
04C |     9 |     6
04D |     8 |     2
04E |   -13 |   -14
04F |    11 |   -10
050 |    -9 |    -7
051 |    14 |    -1
052 |   -10 |    -1
053 |    13 |   -15
054 |     4 |     4
055 |   -13 |    -9
056 |    -2 |    -7
057 |   -13 |    11
058 |   -10 |    -6
059 |    12 |    13
05A |    -7 |   -14
05B |   -13 |    -4
05C |     7 |     2
05D |    -8 |   -14
05E |    -2 |     5
05F |   -15 |   -13
060 |     9 |    -8
061 |   -15 |   -13
062 |     5 |    13
063 |     0 |    -7
064 |   -11 |     8
065 |     2 |     2
066 |    -7 |     9
067 |    15 |     2
068 |    -3 |   -10
069 |    -1 |    -9
06A |   -10 |     5
06B |   -10 |     2
06C |    13 |    13
06D |    13 |    10
06E |    -8 |   -13
06F |    -2 |   -11
070 |    13 |    15
071 |    -9 |     5
072 |    -9 |     0
073 |    11 |    11
074 |    -6 |     8
075 |     8 |    -5
076 |   -15 |    -5
077 |    -9 |   -11
078 |    -6 |    14
079 |     6 |    -2
07A |     8 |    -4
07B |    13 |   -11
07C |    -6 |    12
07D |   -10 |    15
07E |     8 |    13
07F |    10 |   -14
080 |     8 |   -13
081 |    -1 |    -5
082 |   -11 |     5
083 |   -15 |     4
084 |    -5 |     1
085 |    -1 |    -6
086 |    13 |    11
087 |     8 |    -7
088 |     4 |    -2
089 |    -4 |     8
08A |   -11 |    -7
08B |     1 |   -16
08C |    -7 |     4
08D |   -11 |   -14
08E |     2 |     0
08F |   -13 |     3
090 |     0 |     9
091 |     7 |    12
092 |     3 |   -15
093 |   -13 |     0
094 |    14 |     8
095 |    -1 |   -13
096 |     3 |    11
097 |     8 |   -16
098 |   -16 |     9
099 |    -1 |   -10
09A |   -10 |   -10
09B |     4 |    -2
09C |    -1 |     6
09D |    -4 |    -6
09E |     5 |     0
09F |     2 |    -6
0A0 |     9 |    -1
0A1 |     5 |     2
0A2 |     9 |   -12
0A3 |   -16 |    -9
0A4 |    14 |    -7
0A5 |    -5 |   -13
0A6 |     1 |     7
0A7 |    12 |     4
0A8 |     4 |    -6
0A9 |     3 |   -11
0AA |    -2 |     7
0AB |    -3 |    13
0AC |    14 |    -6
0AD |     8 |    -6
0AE |     2 |     1
0AF |   -12 |     4
0B0 |   -12 |    -9
0B1 |   -15 |    -7
0B2 |     1 |    -6
0B3 |    -9 |   -15
0B4 |   -13 |     5
0B5 |     8 |    13
0B6 |     1 |   -13
0B7 |    14 |     5
0B8 |    12 |     8
0B9 |   -10 |    -9
0BA |    11 |   -13
0BB |    -8 |   -10
0BC |     4 |   -13
0BD |    11 |     6
0BE |    12 |    -5
0BF |     6 |    -1
0C0 |    10 |    -7
0C1 |     9 |    -8
0C2 |    -4 |    10
0C3 |    -2 |    11
0C4 |    -5 |    -3
0C5 |   -14 |     7
0C6 |   -12 |    11
0C7 |     1 |   -13
0C8 |    -7 |    14
0C9 |    -6 |   -11
0CA |    12 |     9
0CB |    14 |    -9
0CC |    14 |    15
0CD |    14 |    -6
0CE |   -12 |     7
0CF |   -15 |    -4
0D0 |    -4 |     1
0D1 |   -10 |    -8
0D2 |   -13 |    -8
0D3 |   -12 |    13
0D4 |    -3 |     4
0D5 |     7 |     1
0D6 |   -10 |     4
0D7 |     6 |    -1
0D8 |     6 |   -13
0D9 |    -4 |    11
0DA |     3 |   -10
0DB |    -4 |    14
0DC |    -5 |    -4
0DD |    15 |   -13
0DE |    10 |   -10
0DF |     0 |     3
0E0 |   -15 |    -2
0E1 |     6 |     2
0E2 |     6 |     4
0E3 |    11 |    -3
0E4 |     1 |   -10
0E5 |   -16 |   -10
0E6 |     1 |    -6
0E7 |    11 |   -16
0E8 |    13 |    -1
0E9 |     1 |    -5
0EA |    11 |    -1
0EB |    11 |   -11
0EC |    -9 |    -1
0ED |    -4 |    -8
0EE |    14 |    -3
0EF |   -14 |     5
0F0 |     4 |     6
0F1 |    10 |    11
0F2 |    -9 |    -4
0F3 |   -11 |    -9
0F4 |    -4 |     2
0F5 |    -1 |     4
0F6 |     5 |     3
0F7 |     8 |    -4
0F8 |    -1 |    -6
0F9 |    -5 |     4
0FA |    11 |    10
0FB |   -16 |    15
0FC |     7 |    -4
0FD |    -4 |     5
0FE |    -5 |   -12
0FF |     2 |    -4
100 |    -7 |    15
101 |    10 |     9
102 |   -16 |    -5
103 |     1 |   -11
104 |     7 |     1
105 |   -12 |     2
106 |    -7 |   -16
107 |     7 |    -1
108 |    11 |    -7
109 |    14 |     5
10A |    -7 |    15
10B |    -8 |     8
10C |    13 |    -4
10D |     6 |   -13
10E |     6 |   -11
10F |   -11 |    10
110 |     9 |    11
111 |   -14 |    14
112 |   -16 |    -1
113 |   -14 |    -7
114 |     5 |    -3
115 |   -12 |   -13
116 |    10 |     0
117 |     5 |    -3
118 |    11 |    -8
119 |    -3 |    -5
11A |    -7 |    15
11B |    12 |     4
11C |    -4 |   -16
11D |    -5 |    12
11E |   -12 |    -5
11F |   -12 |    -6
120 |     3 |   -15
121 |     7 |   -10
122 |   -12 |     7
123 |   -12 |   -13
124 |    13 |   -13
